STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-09",,,,,,,"1",",N","1",",N",,,,,,,,,,,,,,,,,,,,,"0.14",",,N,20,",,,,,,,,,"0.14",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-10",,,,,,,"4",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"2.30",",,N,02,",,,,,,,,,"4.34",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-11",,,,,,,"0",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.00",",,N,30,+",,,,,,,,,"0.00",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-12",,,,,,,"1","1,N","0","1,N",,,,,,,,,,,,,,,,,,,,,"0.08","1,,N,20,",,,,,,,,,"0.08","1,,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-01",,,,,,,"6",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"0.71",",,N,06,",,,,,,,,,"2.00",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-02",,,,,,,"2","2,N","1","2,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,29,+","0.43","2,,N,01,",,,,,,,,,"0.44","2,,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-03",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","0.00",",,N,31,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-04",,,,,,,"2",",N","2",",N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,30,+","0.60",",,N,08,",,,,,,,,,"0.91",",,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-05",,,,,,,"1",",N","0",",N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.01",",,N,08,",,,,,,,,,"0.01",",,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-06",,,,,,,"3","1,N","1","1,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,30,+","0.38","1,,N,30,",,,,,,,,,"0.43","1,,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-07",,,,,,,"2","3,N","1","3,N",,,,,,,,,,,,,,,,,,,,,"0.23","3,,N,20,",,,,,,,,,"0.28","3,,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-08",,,,,,,"8","2,N","3","2,N",,,,,,,,,,,,,,,,,,,,,"0.92","2,,N,06,",,,,,,,,,"1.79","2,,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-09",,,,,,,"4",",N","1",",N",,,,,,,,,,,,,,,,,,,,,"0.28",",,N,23,",,,,,,,,,"0.36",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-10",,,,,,,"2","2,N","1","2,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,31,+","0.10","2,,N,03,",,,,,,,,,"0.11",",a,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-11",,,,,,,"5","3,N","3","3,N",,,,,,,,,,,,,,,,,,,,,"0.35","3,,N,04,",,,,,,,,,"0.95","1,a,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2016-12",,,,,,,"7",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"0.57",",,N,22,",,,,,,,,,"1.41",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-01",,,,,,,"9","1,N","4","1,N",,,,,,,,,,,,,,,,,,,,,"0.62","1,,N,21,",,,,,,,,,"1.79","1,,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-02",,,,,,,"4",",N","3",",N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,28,+","1.04",",,N,19,",,,,,,,,,"1.71",",,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-03",,,,,,,"2","2,N","1","2,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,31,+","0.53","2,,N,01,",,,,,,,,,"0.69",",a,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-04",,,,,,,"0","1,N","0","1,N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,30,+","0.00","1,T,N,01,",,,,,,,,,"0.00","1,T,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-05",,,,,,,"1",",N","0",",N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,31,+","0.08",",,N,09,",,,,,,,,,"0.08",",,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-06",,,,,,,"0","5,N","0","5,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,30,+","0.00","5,,N,30,+",,,,,,,,,"0.00","1,a,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-07",,,,,,,"5",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"0.52",",,N,17,",,,,,,,,,"1.00",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-08",,,,,,,"3","1,N","2","1,N",,,,,,,,,,,,,,,,,,,,,"0.59","1,,N,24,",,,,,,,,,"1.09","1,,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-09",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,30,+","0.00",",,N,30,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-10",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","0.00",",,N,31,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-11",,,,,,,"0",",N","0",",N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,30,+","0.00",",T,N,18,+",,,,,,,,,"0.00",",T,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2017-12",,,,,,,"2",",N","1",",N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,31,+","0.36",",,N,17,",,,,,,,,,"0.38",",,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-01",,,,,,,"3",",N","1",",N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,31,+","0.50",",,N,10,",,,,,,,,,"0.53",",,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-02",,,,,,,"3",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.38",",,N,15,",,,,,,,,,"0.67",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-03",,,,,,,"2",",N","0",",N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","0.02",",,N,11,",,,,,,,,,"0.03",",,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-04",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,30,+","0.00",",,N,30,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-05",,,,,,,"1","2,N","1","2,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,31,+","0.14","2,,N,03,",,,,,,,,,"0.14",",a,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-06",,,,,,,"1",",N","0",",N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,30,+","0.03",",,N,17,",,,,,,,,,"0.03",",,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-07",,,,,,,"5",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"0.55",",,N,31,",,,,,,,,,"1.06",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-08",,,,,,,"7","4,N","3","4,N",,,,,,,,,,,,,,,,,,,,,"0.96","4,,N,11,",,,,,,,,,"1.87",",a,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-09",,,,,,,"1",",N","1",",N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,30,+","0.21",",,N,20,",,,,,,,,,"0.21",",,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-10",,,,,,,"8",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"2.34",",,N,03,",,,,,,,,,"4.75",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-11",,,,,,,"1",",N","1",",N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,30,+","0.39",",,N,30,",,,,,,,,,"0.39",",,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1AZMR0082","PHOENIX 9.2 NE, AZ US","33.572013","-112.013225","447.8","2018-12",,,,,,,"2",",N","0",",N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.06",",,N,07,",,,,,,,,,"0.07",",,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-01",,,,,,,"4",",N","4",",N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","1.08",",,N,06,",,,,,,,,,"1.80",",,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-02",,,,,,,"1",",N","1",",N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,29,+","0.19",",,N,01,",,,,,,,,,"0.19",",,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-03",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","0.00",",,N,31,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-04",,,,,,,"2","2,N","2","2,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,30,+","0.21","2,,N,11,",,,,,,,,,"0.36","2,,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-06",,,,,,,"2","5,N","0","5,N",,,,,,,,,,,,,,,,,,,,,"0.02","5,,N,29,",,,,,,,,,"0.03","5,,,N",,,,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-07",,,,,,,"3",",N","2",",N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.29",",,N,02,",,,,,,,,,"0.57",",,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-08",,,,,,,"8","4,N","2","4,N",,,,,,,,,,,,,,,,,,,,,"1.36","4,,N,11,",,,,,,,,,"1.76","4,,,N",,,,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-09",,,,,,,"5","4,N","2","4,N",,,,,,,,,,,,,,,,,,,,,"0.22","4,,N,22,",,,,,,,,,"0.46","4,,,N",,,,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-10",,,,,,,"1","2,N","1","2,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","0.24","2,,N,03,",,,,,,,,,"0.24","2,,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-11",,,,,,,"4",",N","3",",N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,30,+","0.38",",,N,21,",,,,,,,,,"0.81",",,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2016-12",,,,,,,"6","1,N","3","1,N",,,,,,,,,,,,,,,,,,,,,"0.60","1,,N,22,",,,,,,,,,"1.36","1,,,N",,,,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2017-01",,,,,,,"5","2,N","3","2,N",,,,,,,,,,,,,,,,,,,,,"0.95","2,,N,21,",,,,,,,,,"1.59",",a,,N",,,,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2017-04",,,,,,,"0","2,N","0","2,N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,30,+","0.00","2,,N,30,+",,,,,,,,,"0.00","2,,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2017-05",,,,,,,"1",",N","1",",N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,31,+","0.13",",,N,09,",,,,,,,,,"0.13",",,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2017-06",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,30,+","0.00",",,N,30,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2017-07",,,,,,,"8",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"1.45",",,N,25,",,,,,,,,,"3.54",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2017-09",,,,,,,"1","2,N","0","2,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,30,+","0.02","2,,N,08,",,,,,,,,,"0.02",",a,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2017-10",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","0.00",",,N,31,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2017-12",,,,,,,"0","1,N","0","1,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","0.00","1,T,N,17,+",,,,,,,,,"0.00","1,T,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2018-01",,,,,,,"1",",N","1",",N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,31,+","0.37",",,N,10,",,,,,,,,,"0.37",",,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2018-02",,,,,,,"2",",N","2",",N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,28,+","0.34",",,N,15,",,,,,,,,,"0.51",",,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2018-03",,,,,,,"1",",N","0",",N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,31,+","0.02",",,N,11,",,,,,,,,,"0.02",",,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2018-04",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,30,+","0.00",",,N,30,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2018-05",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","0.00",",,N,31,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2018-06",,,,,,,"2",",N","1",",N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,30,+","0.11",",,N,16,",,,,,,,,,"0.13",",,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","33.51269","-112.45887","347.2","2018-07",,,,,,,"6",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.34",",,N,12,",,,,,,,,,"0.61",",,,N",,,,,,,,,,,,,,,,
