holiday_description,state,date
Washington's Birthday,AK,2019-02-18
Steward's Day,AK,2019-03-25
Memorial Day,AK,2019-05-27
Independence Day,AK,2019-07-04
Labor Day,AK,2019-09-02
Alaska Day,AK,2019-10-18
Veterans Day,AK,2019-11-11
Thanksgiving,AK,2019-11-28
Christmas Day,AK,2019-12-25
New Year's Day,AK,2020-01-01
Martin Luther King Jr. Day,AK,2020-01-20
Washington's Birthday,AK,2020-02-17
Steward's Day,AK,2020-03-30
Memorial Day,AK,2020-05-25
Independence Day (Observed),AK,2020-07-03
Independence Day,AK,2020-07-04
Labor Day,AK,2020-09-07
Alaska Day,AK,2020-10-18
Alaska Day (Observed),AK,2020-10-19
Veterans Day,AK,2020-11-11
Thanksgiving,AK,2020-11-26
Christmas Day,AK,2020-12-25
New Year's Day,AL,2013-01-01
Robert E. Lee/Martin Luther King Birthday,AL,2013-01-21
George Washington/Thomas Jefferson Birthday,AL,2013-02-18
Confederate Memorial Day,AL,2013-04-22
Memorial Day,AL,2013-05-27
Jefferson Davis Birthday,AL,2013-06-03
Independence Day,AL,2013-07-04
Labor Day,AL,2013-09-02
Columbus Day,AL,2013-10-14
Veterans Day,AL,2013-11-11
Thanksgiving,AL,2013-11-28
Christmas Day,AL,2013-12-25
New Year's Day,AL,2014-01-01
Robert E. Lee/Martin Luther King Birthday,AL,2014-01-20
George Washington/Thomas Jefferson Birthday,AL,2014-02-17
Confederate Memorial Day,AL,2014-04-28
Memorial Day,AL,2014-05-26
Jefferson Davis Birthday,AL,2014-06-02
Independence Day,AL,2014-07-04
Labor Day,AL,2014-09-01
Columbus Day,AL,2014-10-13
Veterans Day,AL,2014-11-11
Thanksgiving,AL,2014-11-27
Christmas Day,AL,2014-12-25
New Year's Day,AL,2015-01-01
Robert E. Lee/Martin Luther King Birthday,AL,2015-01-19
George Washington/Thomas Jefferson Birthday,AL,2015-02-16
Confederate Memorial Day,AL,2015-04-27
Memorial Day,AL,2015-05-25
Jefferson Davis Birthday,AL,2015-06-01
Independence Day (Observed),AL,2015-07-03
Independence Day,AL,2015-07-04
Labor Day,AL,2015-09-07
Columbus Day,AL,2015-10-12
Veterans Day,AL,2015-11-11
Thanksgiving,AL,2015-11-26
Christmas Day,AL,2015-12-25
New Year's Day,AL,2016-01-01
Robert E. Lee/Martin Luther King Birthday,AL,2016-01-18
George Washington/Thomas Jefferson Birthday,AL,2016-02-15
Confederate Memorial Day,AL,2016-04-25
Memorial Day,AL,2016-05-30
Jefferson Davis Birthday,AL,2016-06-06
Independence Day,AL,2016-07-04
Labor Day,AL,2016-09-05
Columbus Day,AL,2016-10-10
Veterans Day,AL,2016-11-11
Thanksgiving,AL,2016-11-24
Christmas Day,AL,2016-12-25
Christmas Day (Observed),AL,2016-12-26
New Year's Day,AL,2017-01-01
New Year's Day (Observed),AL,2017-01-02
Robert E. Lee/Martin Luther King Birthday,AL,2017-01-16
George Washington/Thomas Jefferson Birthday,AL,2017-02-20
Confederate Memorial Day,AL,2017-04-24
Memorial Day,AL,2017-05-29
Jefferson Davis Birthday,AL,2017-06-05
Independence Day,AL,2017-07-04
Labor Day,AL,2017-09-04
Columbus Day,AL,2017-10-09
Veterans Day (Observed),AL,2017-11-10
Veterans Day,AL,2017-11-11
Thanksgiving,AL,2017-11-23
Christmas Day,AL,2017-12-25
New Year's Day,AL,2018-01-01
Robert E. Lee/Martin Luther King Birthday,AL,2018-01-15
George Washington/Thomas Jefferson Birthday,AL,2018-02-19
Confederate Memorial Day,AL,2018-04-23
Memorial Day,AL,2018-05-28
Jefferson Davis Birthday,AL,2018-06-04
Independence Day,AL,2018-07-04
Labor Day,AL,2018-09-03
Columbus Day,AL,2018-10-08
Veterans Day,AL,2018-11-11
Veterans Day (Observed),AL,2018-11-12
Thanksgiving,AL,2018-11-22
Christmas Day,AL,2018-12-25
New Year's Day,AL,2019-01-01
Robert E. Lee/Martin Luther King Birthday,AL,2019-01-21
George Washington/Thomas Jefferson Birthday,AL,2019-02-18
Confederate Memorial Day,AL,2019-04-22
Memorial Day,AL,2019-05-27
Jefferson Davis Birthday,AL,2019-06-03
Independence Day,AL,2019-07-04
Labor Day,AL,2019-09-02
Columbus Day,AL,2019-10-14
Veterans Day,AL,2019-11-11
Thanksgiving,AL,2019-11-28
Christmas Day,AL,2019-12-25
New Year's Day,AL,2020-01-01
Robert E. Lee/Martin Luther King Birthday,AL,2020-01-20
George Washington/Thomas Jefferson Birthday,AL,2020-02-17
Confederate Memorial Day,AL,2020-04-27
Memorial Day,AL,2020-05-25
Jefferson Davis Birthday,AL,2020-06-01
Independence Day (Observed),AL,2020-07-03
Independence Day,AL,2020-07-04
Labor Day,AL,2020-09-07
Columbus Day,AL,2020-10-12
Veterans Day,AL,2020-11-11
Thanksgiving,AL,2020-11-26
Christmas Day,AL,2020-12-25
New Year's Day,AR,2013-01-01
Martin Luther King Jr. Day,AR,2013-01-21
Washington's Birthday,AR,2013-02-18
Memorial Day,AR,2013-05-27
Independence Day,AR,2013-07-04
Labor Day,AR,2013-09-02
Veterans Day,AR,2013-11-11
Thanksgiving,AR,2013-11-28
Christmas Day,AR,2013-12-25
New Year's Day,AR,2014-01-01
Martin Luther King Jr. Day,AR,2014-01-20
Washington's Birthday,AR,2014-02-17
Memorial Day,AR,2014-05-26
Independence Day,AR,2014-07-04
Labor Day,AR,2014-09-01
Veterans Day,AR,2014-11-11
Thanksgiving,AR,2014-11-27
Christmas Day,AR,2014-12-25
New Year's Day,AR,2015-01-01
Martin Luther King Jr. Day,AR,2015-01-19
Washington's Birthday,AR,2015-02-16
Memorial Day,AR,2015-05-25
Independence Day (Observed),AR,2015-07-03
Independence Day,AR,2015-07-04
Labor Day,AR,2015-09-07
Veterans Day,AR,2015-11-11
Thanksgiving,AR,2015-11-26
Christmas Day,AR,2015-12-25
New Year's Day,AR,2016-01-01
Martin Luther King Jr. Day,AR,2016-01-18
Washington's Birthday,AR,2016-02-15
Memorial Day,AR,2016-05-30
Independence Day,AR,2016-07-04
Labor Day,AR,2016-09-05
Veterans Day,AR,2016-11-11
Thanksgiving,AR,2016-11-24
Christmas Day,AR,2016-12-25
Christmas Day (Observed),AR,2016-12-26
New Year's Day,AR,2017-01-01
New Year's Day (Observed),AR,2017-01-02
Martin Luther King Jr. Day,AR,2017-01-16
Washington's Birthday,AR,2017-02-20
Memorial Day,AR,2017-05-29
Independence Day,AR,2017-07-04
Labor Day,AR,2017-09-04
Veterans Day (Observed),AR,2017-11-10
Veterans Day,AR,2017-11-11
Thanksgiving,AR,2017-11-23
Christmas Day,AR,2017-12-25
New Year's Day,AR,2018-01-01
Martin Luther King Jr. Day,AR,2018-01-15
Washington's Birthday,AR,2018-02-19
Memorial Day,AR,2018-05-28
Independence Day,AR,2018-07-04
Labor Day,AR,2018-09-03
Veterans Day,AR,2018-11-11
Veterans Day (Observed),AR,2018-11-12
Thanksgiving,AR,2018-11-22
Christmas Day,AR,2018-12-25
New Year's Day,AR,2019-01-01
Martin Luther King Jr. Day,AR,2019-01-21
Washington's Birthday,AR,2019-02-18
Memorial Day,AR,2019-05-27
Independence Day,AR,2019-07-04
Labor Day,AR,2019-09-02
Veterans Day,AR,2019-11-11
Thanksgiving,AR,2019-11-28
Christmas Day,AR,2019-12-25
New Year's Day,AR,2020-01-01
Martin Luther King Jr. Day,AR,2020-01-20
Washington's Birthday,AR,2020-02-17
Memorial Day,AR,2020-05-25
Independence Day (Observed),AR,2020-07-03
Independence Day,AR,2020-07-04
Labor Day,AR,2020-09-07
Veterans Day,AR,2020-11-11
Thanksgiving,AR,2020-11-26
Christmas Day,AR,2020-12-25
New Year's Day,AS,2013-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,AS,2013-01-21
George Washington's Birthday and Daisy Gatson Bates Day,AS,2013-02-18
Memorial Day,AS,2013-05-27
Independence Day,AS,2013-07-04
Labor Day,AS,2013-09-02
Columbus Day,AS,2013-10-14
Veterans Day,AS,2013-11-11
Thanksgiving,AS,2013-11-28
Christmas Eve,AS,2013-12-24
Christmas Day,AS,2013-12-25
New Year's Day,AS,2014-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,AS,2014-01-20
George Washington's Birthday and Daisy Gatson Bates Day,AS,2014-02-17
Memorial Day,AS,2014-05-26
Independence Day,AS,2014-07-04
Labor Day,AS,2014-09-01
Columbus Day,AS,2014-10-13
Veterans Day,AS,2014-11-11
Thanksgiving,AS,2014-11-27
Christmas Eve,AS,2014-12-24
Christmas Day,AS,2014-12-25
New Year's Day,AS,2015-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,AS,2015-01-19
George Washington's Birthday and Daisy Gatson Bates Day,AS,2015-02-16
Memorial Day,AS,2015-05-25
Independence Day (Observed),AS,2015-07-03
Independence Day,AS,2015-07-04
Labor Day,AS,2015-09-07
Columbus Day,AS,2015-10-12
Veterans Day,AS,2015-11-11
Thanksgiving,AS,2015-11-26
Christmas Eve,AS,2015-12-24
Christmas Day,AS,2015-12-25
New Year's Day,AS,2016-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,AS,2016-01-18
George Washington's Birthday and Daisy Gatson Bates Day,AS,2016-02-15
Memorial Day,AS,2016-05-30
Independence Day,AS,2016-07-04
Labor Day,AS,2016-09-05
Columbus Day,AS,2016-10-10
Veterans Day,AS,2016-11-11
Thanksgiving,AS,2016-11-24
Christmas Eve (Observed),AS,2016-12-23
Christmas Eve,AS,2016-12-24
Christmas Day,AS,2016-12-25
Christmas Day (Observed),AS,2016-12-26
New Year's Day,AS,2017-01-01
New Year's Day (Observed),AS,2017-01-02
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,AS,2017-01-16
George Washington's Birthday and Daisy Gatson Bates Day,AS,2017-02-20
Memorial Day,AS,2017-05-29
Independence Day,AS,2017-07-04
Labor Day,AS,2017-09-04
Columbus Day,AS,2017-10-09
Veterans Day (Observed),AS,2017-11-10
Veterans Day,AS,2017-11-11
Thanksgiving,AS,2017-11-23
Christmas Eve (Observed),AS,2017-12-22
Christmas Eve,AS,2017-12-24
Christmas Day,AS,2017-12-25
New Year's Day,AS,2018-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,AS,2018-01-15
George Washington's Birthday and Daisy Gatson Bates Day,AS,2018-02-19
Memorial Day,AS,2018-05-28
Independence Day,AS,2018-07-04
Labor Day,AS,2018-09-03
Columbus Day,AS,2018-10-08
Veterans Day,AS,2018-11-11
Veterans Day (Observed),AS,2018-11-12
Thanksgiving,AS,2018-11-22
Christmas Eve,AS,2018-12-24
Christmas Day,AS,2018-12-25
New Year's Day,AS,2019-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,AS,2019-01-21
George Washington's Birthday and Daisy Gatson Bates Day,AS,2019-02-18
Memorial Day,AS,2019-05-27
Independence Day,AS,2019-07-04
Labor Day,AS,2019-09-02
Columbus Day,AS,2019-10-14
Veterans Day,AS,2019-11-11
Thanksgiving,AS,2019-11-28
Christmas Eve,AS,2019-12-24
Christmas Day,AS,2019-12-25
New Year's Day,AS,2020-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,AS,2020-01-20
George Washington's Birthday and Daisy Gatson Bates Day,AS,2020-02-17
Memorial Day,AS,2020-05-25
Independence Day (Observed),AS,2020-07-03
Independence Day,AS,2020-07-04
Labor Day,AS,2020-09-07
Columbus Day,AS,2020-10-12
Veterans Day,AS,2020-11-11
Thanksgiving,AS,2020-11-26
Christmas Eve,AS,2020-12-24
Christmas Day,AS,2020-12-25
New Year's Day,AZ,2013-01-01
Dr. Martin Luther King Jr./Civil Rights Day,AZ,2013-01-21
Washington's Birthday,AZ,2013-02-18
Memorial Day,AZ,2013-05-27
Independence Day,AZ,2013-07-04
Labor Day,AZ,2013-09-02
Columbus Day,AZ,2013-10-14
Veterans Day,AZ,2013-11-11
Thanksgiving,AZ,2013-11-28
Christmas Day,AZ,2013-12-25
New Year's Day,AZ,2014-01-01
Dr. Martin Luther King Jr./Civil Rights Day,AZ,2014-01-20
Washington's Birthday,AZ,2014-02-17
Memorial Day,AZ,2014-05-26
Independence Day,AZ,2014-07-04
Labor Day,AZ,2014-09-01
Columbus Day,AZ,2014-10-13
Veterans Day,AZ,2014-11-11
Thanksgiving,AZ,2014-11-27
Christmas Day,AZ,2014-12-25
New Year's Day,AZ,2015-01-01
Dr. Martin Luther King Jr./Civil Rights Day,AZ,2015-01-19
Washington's Birthday,AZ,2015-02-16
Memorial Day,AZ,2015-05-25
Independence Day (Observed),AZ,2015-07-03
Independence Day,AZ,2015-07-04
Labor Day,AZ,2015-09-07
Columbus Day,AZ,2015-10-12
Veterans Day,AZ,2015-11-11
Thanksgiving,AZ,2015-11-26
Christmas Day,AZ,2015-12-25
New Year's Day,AZ,2016-01-01
Dr. Martin Luther King Jr./Civil Rights Day,AZ,2016-01-18
Washington's Birthday,AZ,2016-02-15
Memorial Day,AZ,2016-05-30
Independence Day,AZ,2016-07-04
Labor Day,AZ,2016-09-05
Columbus Day,AZ,2016-10-10
Veterans Day,AZ,2016-11-11
Thanksgiving,AZ,2016-11-24
Christmas Day,AZ,2016-12-25
Christmas Day (Observed),AZ,2016-12-26
New Year's Day,AZ,2017-01-01
New Year's Day (Observed),AZ,2017-01-02
Dr. Martin Luther King Jr./Civil Rights Day,AZ,2017-01-16
Washington's Birthday,AZ,2017-02-20
Memorial Day,AZ,2017-05-29
Independence Day,AZ,2017-07-04
Labor Day,AZ,2017-09-04
Columbus Day,AZ,2017-10-09
Veterans Day (Observed),AZ,2017-11-10
Veterans Day,AZ,2017-11-11
Thanksgiving,AZ,2017-11-23
Christmas Day,AZ,2017-12-25
New Year's Day,AZ,2018-01-01
Dr. Martin Luther King Jr./Civil Rights Day,AZ,2018-01-15
Washington's Birthday,AZ,2018-02-19
Memorial Day,AZ,2018-05-28
Independence Day,AZ,2018-07-04
Labor Day,AZ,2018-09-03
Columbus Day,AZ,2018-10-08
Veterans Day,AZ,2018-11-11
Veterans Day (Observed),AZ,2018-11-12
Thanksgiving,AZ,2018-11-22
Christmas Day,AZ,2018-12-25
New Year's Day,AZ,2019-01-01
Dr. Martin Luther King Jr./Civil Rights Day,AZ,2019-01-21
Washington's Birthday,AZ,2019-02-18
Memorial Day,AZ,2019-05-27
Independence Day,AZ,2019-07-04
Labor Day,AZ,2019-09-02
Columbus Day,AZ,2019-10-14
Veterans Day,AZ,2019-11-11
Thanksgiving,AZ,2019-11-28
Christmas Day,AZ,2019-12-25
New Year's Day,AZ,2020-01-01
Dr. Martin Luther King Jr./Civil Rights Day,AZ,2020-01-20
Washington's Birthday,AZ,2020-02-17
Memorial Day,AZ,2020-05-25
Independence Day (Observed),AZ,2020-07-03
Independence Day,AZ,2020-07-04
Labor Day,AZ,2020-09-07
Columbus Day,AZ,2020-10-12
Veterans Day,AZ,2020-11-11
Thanksgiving,AZ,2020-11-26
Christmas Day,AZ,2020-12-25
New Year's Day,CA,2013-01-01
Martin Luther King Jr. Day,CA,2013-01-21
Washington's Birthday,CA,2013-02-18
César Chávez Day,CA,2013-03-31
César Chávez Day (Observed),CA,2013-04-01
Memorial Day,CA,2013-05-27
Independence Day,CA,2013-07-04
Labor Day,CA,2013-09-02
Columbus Day,CA,2013-10-14
Veterans Day,CA,2013-11-11
Thanksgiving,CA,2013-11-28
Christmas Day,CA,2013-12-25
New Year's Day,CA,2014-01-01
Martin Luther King Jr. Day,CA,2014-01-20
Susan B. Anthony Day,CA,2014-02-15
Washington's Birthday,CA,2014-02-17
César Chávez Day,CA,2014-03-31
Memorial Day,CA,2014-05-26
Independence Day,CA,2014-07-04
Labor Day,CA,2014-09-01
Columbus Day,CA,2014-10-13
Veterans Day,CA,2014-11-11
Thanksgiving,CA,2014-11-27
Christmas Day,CA,2014-12-25
New Year's Day,CA,2015-01-01
Martin Luther King Jr. Day,CA,2015-01-19
Susan B. Anthony Day,CA,2015-02-15
Washington's Birthday,CA,2015-02-16
César Chávez Day,CA,2015-03-31
Memorial Day,CA,2015-05-25
Independence Day (Observed),CA,2015-07-03
Independence Day,CA,2015-07-04
Labor Day,CA,2015-09-07
Columbus Day,CA,2015-10-12
Veterans Day,CA,2015-11-11
Thanksgiving,CA,2015-11-26
Christmas Day,CA,2015-12-25
New Year's Day,CA,2016-01-01
Martin Luther King Jr. Day,CA,2016-01-18
"Washington's Birthday, Susan B. Anthony Day",CA,2016-02-15
César Chávez Day,CA,2016-03-31
Memorial Day,CA,2016-05-30
Independence Day,CA,2016-07-04
Labor Day,CA,2016-09-05
Columbus Day,CA,2016-10-10
Veterans Day,CA,2016-11-11
Thanksgiving,CA,2016-11-24
Christmas Day,CA,2016-12-25
Christmas Day (Observed),CA,2016-12-26
New Year's Day,CA,2017-01-01
New Year's Day (Observed),CA,2017-01-02
Martin Luther King Jr. Day,CA,2017-01-16
Susan B. Anthony Day,CA,2017-02-15
Washington's Birthday,CA,2017-02-20
César Chávez Day,CA,2017-03-31
Memorial Day,CA,2017-05-29
Independence Day,CA,2017-07-04
Labor Day,CA,2017-09-04
Columbus Day,CA,2017-10-09
Veterans Day (Observed),CA,2017-11-10
Veterans Day,CA,2017-11-11
Thanksgiving,CA,2017-11-23
Christmas Day,CA,2017-12-25
New Year's Day,CA,2018-01-01
Martin Luther King Jr. Day,CA,2018-01-15
Susan B. Anthony Day,CA,2018-02-15
Washington's Birthday,CA,2018-02-19
César Chávez Day,CA,2018-03-31
Memorial Day,CA,2018-05-28
Independence Day,CA,2018-07-04
Labor Day,CA,2018-09-03
Columbus Day,CA,2018-10-08
Veterans Day,CA,2018-11-11
Veterans Day (Observed),CA,2018-11-12
Thanksgiving,CA,2018-11-22
Christmas Day,CA,2018-12-25
New Year's Day,CA,2019-01-01
Martin Luther King Jr. Day,CA,2019-01-21
Susan B. Anthony Day,CA,2019-02-15
Washington's Birthday,CA,2019-02-18
César Chávez Day,CA,2019-03-31
César Chávez Day (Observed),CA,2019-04-01
Memorial Day,CA,2019-05-27
Independence Day,CA,2019-07-04
Labor Day,CA,2019-09-02
Columbus Day,CA,2019-10-14
Veterans Day,CA,2019-11-11
Thanksgiving,CA,2019-11-28
Christmas Day,CA,2019-12-25
New Year's Day,CA,2020-01-01
Martin Luther King Jr. Day,CA,2020-01-20
Susan B. Anthony Day,CA,2020-02-15
Washington's Birthday,CA,2020-02-17
César Chávez Day,CA,2020-03-31
Memorial Day,CA,2020-05-25
Independence Day (Observed),CA,2020-07-03
Independence Day,CA,2020-07-04
Labor Day,CA,2020-09-07
Columbus Day,CA,2020-10-12
Veterans Day,CA,2020-11-11
Thanksgiving,CA,2020-11-26
Christmas Day,CA,2020-12-25
New Year's Day,CO,2013-01-01
Martin Luther King Jr. Day,CO,2013-01-21
Washington's Birthday,CO,2013-02-18
Memorial Day,CO,2013-05-27
Independence Day,CO,2013-07-04
Labor Day,CO,2013-09-02
Columbus Day,CO,2013-10-14
Veterans Day,CO,2013-11-11
Thanksgiving,CO,2013-11-28
Christmas Day,CO,2013-12-25
New Year's Day,CO,2014-01-01
Martin Luther King Jr. Day,CO,2014-01-20
Washington's Birthday,CO,2014-02-17
Memorial Day,CO,2014-05-26
Independence Day,CO,2014-07-04
Labor Day,CO,2014-09-01
Columbus Day,CO,2014-10-13
Veterans Day,CO,2014-11-11
Thanksgiving,CO,2014-11-27
Christmas Day,CO,2014-12-25
New Year's Day,CO,2015-01-01
Martin Luther King Jr. Day,CO,2015-01-19
Washington's Birthday,CO,2015-02-16
Memorial Day,CO,2015-05-25
Independence Day (Observed),CO,2015-07-03
Independence Day,CO,2015-07-04
Labor Day,CO,2015-09-07
Columbus Day,CO,2015-10-12
Veterans Day,CO,2015-11-11
Thanksgiving,CO,2015-11-26
Christmas Day,CO,2015-12-25
New Year's Day,CO,2016-01-01
Martin Luther King Jr. Day,CO,2016-01-18
Washington's Birthday,CO,2016-02-15
Memorial Day,CO,2016-05-30
Independence Day,CO,2016-07-04
Labor Day,CO,2016-09-05
Columbus Day,CO,2016-10-10
Veterans Day,CO,2016-11-11
Thanksgiving,CO,2016-11-24
Christmas Day,CO,2016-12-25
Christmas Day (Observed),CO,2016-12-26
New Year's Day,CO,2017-01-01
New Year's Day (Observed),CO,2017-01-02
Martin Luther King Jr. Day,CO,2017-01-16
Washington's Birthday,CO,2017-02-20
Memorial Day,CO,2017-05-29
Independence Day,CO,2017-07-04
Labor Day,CO,2017-09-04
Columbus Day,CO,2017-10-09
Veterans Day (Observed),CO,2017-11-10
Veterans Day,CO,2017-11-11
Thanksgiving,CO,2017-11-23
Christmas Day,CO,2017-12-25
New Year's Day,CO,2018-01-01
Martin Luther King Jr. Day,CO,2018-01-15
Washington's Birthday,CO,2018-02-19
Memorial Day,CO,2018-05-28
Independence Day,CO,2018-07-04
Labor Day,CO,2018-09-03
Columbus Day,CO,2018-10-08
Veterans Day,CO,2018-11-11
Veterans Day (Observed),CO,2018-11-12
Thanksgiving,CO,2018-11-22
Christmas Day,CO,2018-12-25
New Year's Day,CO,2019-01-01
Martin Luther King Jr. Day,CO,2019-01-21
Washington's Birthday,CO,2019-02-18
Memorial Day,CO,2019-05-27
Independence Day,CO,2019-07-04
Labor Day,CO,2019-09-02
Columbus Day,CO,2019-10-14
Veterans Day,CO,2019-11-11
Thanksgiving,CO,2019-11-28
Christmas Day,CO,2019-12-25
New Year's Day,CO,2020-01-01
Martin Luther King Jr. Day,CO,2020-01-20
Washington's Birthday,CO,2020-02-17
Memorial Day,CO,2020-05-25
Independence Day (Observed),CO,2020-07-03
Independence Day,CO,2020-07-04
Labor Day,CO,2020-09-07
Columbus Day,CO,2020-10-12
Veterans Day,CO,2020-11-11
Thanksgiving,CO,2020-11-26
Christmas Day,CO,2020-12-25
New Year's Day,CT,2013-01-01
Martin Luther King Jr. Day,CT,2013-01-21
Lincoln's Birthday,CT,2013-02-12
Washington's Birthday,CT,2013-02-18
Good Friday,CT,2013-03-29
Memorial Day,CT,2013-05-27
Independence Day,CT,2013-07-04
Labor Day,CT,2013-09-02
Columbus Day,CT,2013-10-14
Veterans Day,CT,2013-11-11
Thanksgiving,CT,2013-11-28
Christmas Day,CT,2013-12-25
New Year's Day,CT,2014-01-01
Martin Luther King Jr. Day,CT,2014-01-20
Lincoln's Birthday,CT,2014-02-12
Washington's Birthday,CT,2014-02-17
Good Friday,CT,2014-04-18
Memorial Day,CT,2014-05-26
Independence Day,CT,2014-07-04
Labor Day,CT,2014-09-01
Columbus Day,CT,2014-10-13
Veterans Day,CT,2014-11-11
Thanksgiving,CT,2014-11-27
Christmas Day,CT,2014-12-25
New Year's Day,CT,2015-01-01
Martin Luther King Jr. Day,CT,2015-01-19
Lincoln's Birthday,CT,2015-02-12
Washington's Birthday,CT,2015-02-16
Good Friday,CT,2015-04-03
Memorial Day,CT,2015-05-25
Independence Day (Observed),CT,2015-07-03
Independence Day,CT,2015-07-04
Labor Day,CT,2015-09-07
Columbus Day,CT,2015-10-12
Veterans Day,CT,2015-11-11
Thanksgiving,CT,2015-11-26
Christmas Day,CT,2015-12-25
New Year's Day,CT,2016-01-01
Martin Luther King Jr. Day,CT,2016-01-18
Lincoln's Birthday,CT,2016-02-12
Washington's Birthday,CT,2016-02-15
Good Friday,CT,2016-03-25
Memorial Day,CT,2016-05-30
Independence Day,CT,2016-07-04
Labor Day,CT,2016-09-05
Columbus Day,CT,2016-10-10
Veterans Day,CT,2016-11-11
Thanksgiving,CT,2016-11-24
Christmas Day,CT,2016-12-25
Christmas Day (Observed),CT,2016-12-26
New Year's Day,CT,2017-01-01
New Year's Day (Observed),CT,2017-01-02
Martin Luther King Jr. Day,CT,2017-01-16
Lincoln's Birthday,CT,2017-02-12
Lincoln's Birthday (Observed),CT,2017-02-13
Washington's Birthday,CT,2017-02-20
Good Friday,CT,2017-04-14
Memorial Day,CT,2017-05-29
Independence Day,CT,2017-07-04
Labor Day,CT,2017-09-04
Columbus Day,CT,2017-10-09
Veterans Day (Observed),CT,2017-11-10
Veterans Day,CT,2017-11-11
Thanksgiving,CT,2017-11-23
Christmas Day,CT,2017-12-25
New Year's Day,CT,2018-01-01
Martin Luther King Jr. Day,CT,2018-01-15
Lincoln's Birthday,CT,2018-02-12
Washington's Birthday,CT,2018-02-19
Good Friday,CT,2018-03-30
Memorial Day,CT,2018-05-28
Independence Day,CT,2018-07-04
Labor Day,CT,2018-09-03
Columbus Day,CT,2018-10-08
Veterans Day,CT,2018-11-11
Veterans Day (Observed),CT,2018-11-12
Thanksgiving,CT,2018-11-22
Christmas Day,CT,2018-12-25
New Year's Day,CT,2019-01-01
Martin Luther King Jr. Day,CT,2019-01-21
Lincoln's Birthday,CT,2019-02-12
Washington's Birthday,CT,2019-02-18
Good Friday,CT,2019-04-19
Memorial Day,CT,2019-05-27
Independence Day,CT,2019-07-04
Labor Day,CT,2019-09-02
Columbus Day,CT,2019-10-14
Veterans Day,CT,2019-11-11
Thanksgiving,CT,2019-11-28
Christmas Day,CT,2019-12-25
